"","ID","yyyy","month","largest.dhufish.kg","Zone","latitude","scientific","echo_sounders","gps","bathy","depth","depth_zone","geometry"
"142",142,1960,"4",9.525432,"nearshore_north",-31.8242563082652,"fish.size","pre","pre",-13.8498382568359,13.8498382568359,"nearshore",c(115.696520497682, -31.8242563082652)
"143",143,1960,"4",11.3398,"nearshore_north",-31.8242563082652,"fish.size","pre","pre",-13.8498382568359,13.8498382568359,"nearshore",c(115.696520497682, -31.8242563082652)
"144",144,1960,"4",13.154168,"nearshore_north",-31.8242563082652,"fish.size","pre","pre",-13.8498382568359,13.8498382568359,"nearshore",c(115.696520497682, -31.8242563082652)
"145",145,1960,"5",19.958048,"near_rottnest",-31.9827687411473,"fish.size","pre","pre",-12.1172761917114,12.1172761917114,"nearshore",c(115.516951889149, -31.9827687411473)
"146",146,1960,"8",10.886208,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-4.26503437198699,4.26503437198699,"nearshore",c(115.482858203312, -32.0125310038696)
"147",147,1960,"9",16.782904,"nearshore_south",-32.1236968743513,"fish.size","pre","pre",-8.0330982208252,8.0330982208252,"nearshore",c(115.65482575753, -32.1236968743513)
"148",148,1960,"9",1.360776,"near_rottnest",-32.0169907465796,"fish.size","pre","pre",-4.16874832473695,4.16874832473695,"nearshore",c(115.47433198872, -32.0169907465796)
"149",149,1960,"10",9.07184,"nearshore_south",-32.0648176765052,"fish.size","pre","pre",-5.04067897796631,5.04067897796631,"nearshore",c(115.637173677937, -32.0648176765052)
"150",150,1960,"10",12.246984,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-8.42813608050346,8.42813608050346,"nearshore",c(115.482858203312, -32.0125310038696)
"151",151,1960,"11",7.257472,"nearshore_north",-31.8315921743211,"fish.size","pre","pre",-17.6626930236816,17.6626930236816,"nearshore",c(115.680748247684, -31.8315921743211)
"152",152,1960,"11",8.618248,"nearshore_north",-31.8315921743211,"fish.size","pre","pre",-17.6626930236816,17.6626930236816,"nearshore",c(115.680748247684, -31.8315921743211)
"153",153,1960,"11",10.886208,"nearshore_north",-31.8315921743211,"fish.size","pre","pre",-17.6626930236816,17.6626930236816,"nearshore",c(115.680748247684, -31.8315921743211)
"154",154,1960,"11",6.80388,"near_rottnest",-31.9573365764646,"fish.size","pre","pre",-41.3541030883789,41.3541030883789,"inshore_demersal",c(115.475975802622, -31.9573365764646)
"155",155,1960,"11",21.772416,"nearshore_north",-31.6161056088078,"fish.size","pre","pre",-15.4474411010742,15.4474411010742,"nearshore",c(115.60717174657, -31.6161056088078)
"156",156,1961,"1",19.050864,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-3.34391986578703,3.34391986578703,"nearshore",c(115.482858203312, -32.0125310038696)
